RecID(String),FirstName(String),MiddleName(String),LastName(String),Address(String),City(String),State(String),ZIP(String),POBox(String),POCityStateZip(String),SSN(String),DOB(String)
A904736,CANDACE,,QUILES,1475 W 4th Str Apt 522,HIALEAH,FLA.,Y33012,,,010-93-5422,
A904737,Tony,,Ayen,7979 N Eldride Parkway,houston,tx,77041,,,130811122,14-Feb-77
A904738,donald,armando,cortez,207 E 158TH ST,GARDENA,CA,90248,,,,
A904739,l,,lantrip,6417 Kennedy Ct,WATAUGA,TX,76148O,,,25579615,21-Mar-24
A904740,mereidth,j,gadlindo,1634 PINEDALE AVE,BLOOMIGTON,CA,92316,,,161550802,
A904741,,,Machuca,22 GARDENSIDE DBRIVE APT 7,SAN,FRANCISCO,CA 94131,,,,
A904742,G,J,Flannery,3336 Sleepy Hollow Ln,MODESTO,CA,95355,,,41486886,
A904743,CONSTANCE,M,CRANSTON,084 royal marquis circl,OCOEE,FLORIDA,34761,,,177177118,
A904744,fernando,,alvarez,4635 luxford ct,SACRAMENTO,CA,95842,,,186309630,6/9/84
A904745,ELVIA,T,JOYCE,2772 E Ponderosa Dr Apt 282,CAMARILLO,CA,93010,,,608478984,
A904746,Ketty,,Beverly,2977 PALO VERDE WY,Antioch,Callifornia,94509,Po Box 1655,"ANTIOCH, CA 94509",,
A904747,Samantha,H,Walker,410 Wapello Circ,sacramento,ca,95835,PO BOX 293357,"Sacramento, Ca 95829",104513023,
A904748,REINA,,WILKERSON,6425 Filbert Ave,Oraangevale,Ca,95662,,,,
A904749,Jimmy,,Bostic,3505 NW 12TH AVE,GAINESVILLE,FL,32605,,,032-82-1465,1916
A904750,Lillain,W,Fitzpatrck,1183 ROADRUNNER AV,san,jacinto,ca 92582,,,184145564,
A904751,L,R,CLELAND,1445 w 6th avnue,HIALEAH,FL,33010,PO BOX 126743,"HIALEAH, FL 33012",154510339,1955
A904752,CORY,,AAGAARD,5202 guava dr,HARLINGEN,TX,7J8552,,,126496454,
A904753,Normdy,Mateo-de,Alonzo,1460 LAKE SHADOW CIR APT 7102,MAITLAND,FL,32751,,,139-78-7140,
A904754,ERNESTINE,L,LUNA,2122 rainwood cosurt,Arlingtontx,,76017,,,074-50-4581,19290307
A904755,rodney,,alegria,10229 COUNTY ROAD 2253,Tyler,Tx,75707,,,,1958
A904756,Marco,G,Rout,1412 SARA DR,LITTLE,ROCK,AR 72206,PO BOX 165891,"LITTLE ROCK, AR 72216",073-91-4171,
A904757,WANYE,D,L,3220 Laurelhurst Dr,Rancho,Cordova,Ca 95670,,,121121101,
A904758,Joyec,M,Pallett,1857 W 24TH ST APT 1,los,angeles,ca 90018,,,012-68-7271,1961
A904759,LYNDA,R,SIMMONS,12291 Nw Newsomem Rd,Clarksville,Fl,32430,,,196793879,
A904760,LUIS,,VU,8646 ferndale st,SAN,DIEGO,CALIF. 92126,po box 45236,"sank diego, cali 92145",,
A904761,susan,j,collins,249 porter st,san,antonio,texas 78210,,,107073444,
A904762,sonia,e,castillo,117 GOOD HOPE RD,cot,ar,72326,,,,26-Sep-07
A904763,JAMES,,LUCERO,9614 SW 146H AVE,Miami,Florida,33186,,,021-09-3521,1978
A904764,napoleon,hunter,miles,106 via rosa ct,Debary,Fl,32713,,,191756738,
A904765,FLORENCIO,C,BANDONG,1010 livermore st,PORTLAND,TGX,78374,,,019-62-7942,
A904766,Stephanie,,Aybar,1411 cihrcle dr,ROUND,ROCK,TX 78664,,,159-54-0817,
A904767,Beatrice,D,Sctot,446 Rverview Ln,MELBOURNE,BEACH,FL 32951,,,,1964
A904768,NANCY,,BULAON,2984 se 146th pl,SUMMRFIELD,FLA.,34491,Po Box 832,Summerfield Florida 34492,86936056,
A904769,Rocio,R,Flores-guevara,17524 robusta dr,RIVERSIDE,CA,92503,,,194492433,13-Jun-84
A904770,ROBERT,HARVEY,SLULINS,232 E JOHGNSTON AVE,hemet,ca,92543,PO BOX 1315,"Hemet, Ca 9546",124596988,1917
A904771,margie,g,reihl,1600 Saracen Ln,NORTH,PORT,FL 34286,Ost Office Box 7006,"NORTH PORT, FLOIDA 34290",180012536,
A904772,JAKE,,LUCERO,2937 S VICTORIA AVE,LOS,ANGELES,CALI 9001X6,PO BOX 8816Y05,"los angeles, ca 90009",67747404,
A904773,Yevgenyi,P,Zimmerle,4121 Northwst 106h Avn,Coral,Springs,Fl 33065,OFFICE BOX 8140,"CORAL SPRINGS, FL 33075",065-97-4425,
A904774,ANITA,F,TARDAN,101 e alamo st,ELGIN,TX,78621,CALLERH 1348,"Elgin, Tx 78621",119808318,
A904775,dicey,,saenz,2107 Sutherand Road,Lynn,Haven,Fl 32444,,,39844995,
A904776,CRUZ,T,ROBERTS,569 n elmwood ave apt 9,LINDSAY,CA,9324P7,,,,1942
A904777,DOROTHY,T,OLADO,2159 KINSLEY LN,tallahassee,fl,32308,PO BOX 4045,"tallahassee, fl 32315",160393819,
A904778,FREDDIE,,NAIR,"36786 us highway 69 north,",jacksonville,texas,75766,,,,
A904779,ED,,LUJAN,1517 SW 45TH LN,MIAMI,,FL33185,,,,
A904780,,,carter,415 Woodson Lateral Rd,HENSLEY,ARKANSAS,72065,,,103-99-0693,2/3/54
A904781,mesrop,j,gilliam,6800 LANDINGS DR APT 107,Lauderhill,Fl,33319,,,73486987,
A904782,M,,MILLER,45911 farzmstead road,coarsegold,ca,93614,,,59521370,
A904783,DEBRA,B,MCDANIEL,1273 SANDFIA AVNUE,Sunnyale,Cali,94089,,,90243189,
A904784,B,J,GREENE,10734 CANTDLEWOOD DRIVE,HOUSTON,TX,77042,Po Box 280034,"houston, tx 77228",76369215,12/7/28
A904785,B,G,Reyes,5220h chollas pkway,SAN,DIEGO,CA 92105,,,199612308,
A904786,Shawyn,,G,1000 Indian Shores Rd,Crosby,Tx,77532,,,158-34-7032,
A904787,CHANDRA,,CALVO,7542 FREDA AVE,YRIVERSIDE,CA,92504,,,43221389,
A904788,ROSA,P,ADKNIS,8442 SUMMERDALE ROAD UNIT C,SNAN,DIEGO,CALIF. 92126,,,131246961,1902
A904789,LAURA,,MATTHEWS,444 anita st spc 103,CHULA,VITA,CA 91911,BOX 1657,"CHULA VISTA, CALF. 91912",,1929
A904790,TERAH,,SERRANO,5426 BARTON AVE APT 1,LOS,ANGELEST,CA 90038,PO BOX 881605,"LOS ANGELES, CA 90009",74622373,
A904791,BARBARA,,MALONE,345 12TH AVE,Indian,Rocks,Beach Fl 33785,,,,1982
A904792,ROBERTO,M,NELSON,5143 harvard st,Montclair,Ca,91763,,,145720831,
A904793,JOHN,A,DAYNES,569 DOE COVE PL,apopka,fl,32703,,,126-42-9205,
A904794,keven,h,audirsch,5618 CACTUS DR,laredo,texas,78041,OFFICE BOX 451224,"LAREDO, TEXAS 78045",94754258,
A904795,Clelia,L,Campbell,5230 PARK BLVD LOT 21,pinellas,park,fl a33781,,,107529129,
A904796,omar,,danks,416 FULLER ST APT 4,CORONA,CA,92879,,,149-98-7769,1/22/33
A904797,ANGELITA,A,A,11694 cr 630,blue,ridge,tx 75424,,,,
A904798,Antonio,,Morfin,2915 BARBERRY CT,lompoc,ca,93436,,,171168014,
A904799,GEOVANI,,G,1932 77th St,lubbock,texas,79423,,,51796652,
A904800,Jorge,K,Hamby,4221 Nw 204th Strt,miami,gardens,fla. 33055,box 02035,"miami gardens, fl 33055",144808995,
A904801,BRADLEY,,BROUSSARD,1729 w 35th st,LOS,ANGELES,CALIFORNIA 0018,,,184-72-8373,
A904802,patirzia,a,viera,1599 WOALKINGSHAW WAY,San,Josecali,95132,,,149584269,
A904803,R,M,Qday,4103 viscaya st,SEBRING,FLORIDA,33872,,,186428689,12/1/82
A904804,MARTA,G,HOTTINGER,6795 Gaylord St,Riverside,Calijfornia,92505,,,127-14-8395,3/23/26
A904805,tatiana,l,jordan,11749 cxham drv,orlando,fl,32837,Po Box 720506,"ORLANDO, FL 32872",,
A904806,maria,,steen,7217 Rolling Manor Drz,benton,ark,72019,,,,27-Oct-29
A904807,Adrienne,C,Acdan,125 GREENRIDE CIR,LEAGUE,CITY,TEXA 77573,,,2626486,
A904808,H,L,TAUTM,1540 GEORGE ST,Orlando,Fl,32806,,,054-41-8778,
A904809,Julieta,D,Holloman,1517 STUBBS ST APT A,amarillo,tx,79106,,,70307902,
A904810,michelle,a,vrenna,"3253 highway 278 e,",Monicello,Ark.,71655,po box 493,"MONTICELLO, AR 71657",14005173,
A904811,marai,j,lopez,40850 corte lbos reyes,Indio,Ca,92203,,,25213528,
A904812,peggy,j,huff,6115 Montgoery Ave,PENSACOLA,FL,32526,PO BOX 3522,"PENSACOLA, FLA.32516",36404542,
A904813,ROBERT,M,MARTINEZ,19992 ne 20th ln,lawteqy,fla.,32058,,,119029621,
A904814,efrain,e,hughes,11813 WRIGHT RD APT C,LYNWOOD,CA,90262,,,5857823,
A904815,armine,,erum,103M86 MILLS TOWER DR,RANCHO,CORDOVA,CA 95670,,,,1960
A904816,HUBERT,A,MHAAN,911 S PARK AVE APT 108,Titusville,Florida,32780,Po Box 5765,"titusville, fl 32783",141070073,1932
A904817,t,,cierra,858 Arrett Wy,SAN,JACINTO,CALIFORNIA 92583,,,013-80-9274,
A904818,JASON,,GARDON,3102 forest knoll circulo,TAMPA,FLORIDA,33618,OFFICE BOX 76972,"TAMPA, FL 33675",139-18-0348,
A904819,Arminta,E,Bossard,3782 falcon div,hilliard,fl,32046,PO BOX 614,"HILLIARD, FL 32046",616299483,
A904820,CARLOS,L,GAUVRY,1809 Cypress Pl,springdaele,ark,72762,,,76029918,1907
A904821,dexter,m,kovatsi,8770 sw wooten way,KINARD,FL,32449,,,064-22-1136,
A904822,DIANE,,B,9628B GLACIER CREEK WAY,Elk,Grove,Ca 95624,,,187149409,1973
A904823,Brian,D,Woodruff,9822 HASKELAL AVE,north,hills,cali 91343,,,199538930,1910
A904824,ANDREW,J,HAGAN,8403 quail hills dr,Missouri,City,Tx 77489,,,36882406,
A904825,PAULA,R,SUMLIN,1119 Conclin Tr Unit 2,Talahassee,Florida,32310,,,162827868,
A904826,jaqueline,k,brown,1445 Cedar Ave,SAN,LEANDRO,CA 94579,Post Ffice Box 3325,"SAN LANDRO, CA 94578",65655885,
A904827,Rosio,E,Santo,224 SE 32ND TERR,HOMESTEAD,FL,33033,,,,
A904828,JAMES,M,G,"490b Treemont Ave Sw,",PALM,BAY,FLA. 3290S8,,,120141957,11/10/59
A904829,Stephanie,L,Fernandez,4409 FAWN HILL CT,ANTIOCH,CA,J94531,,,80152806,
A904830,Anna,A,Becer,3253 Hillcrest Dr Apt 5b,SAN,ANTONIO,TX 78201,,,18965189,
A904831,Ernesto,T,Ortega,428 West Ave,INGEWOOD,CALIFORNIA,90301,PO BOX 1607,"inglewood, ca 90308",,19460625
A904832,THOMAS,L,BRATCHER,2648 VISTA TRL,BELTON,TX,76513,,,117-95-0201,
A904833,CHRISTINE,J,WAN,1496 san adrews dr,FRISCO,TX,75034,,,41344348,6/21/17
A904834,ALFONZO,K,LEU,58215 Joshua Lanwe,Yucca,Valley,Calif. 92284,,,118183501,10/20/00
A904835,Vuyisile,,Borna,1521 YOLO ST,corning,ca,96021,,,175-54-9814,
A904836,BERT,L,GAMBOA,1001 EAST CHILKOOT AVENU,TAMPA,FL,33612,,,135-67-9669,
A904837,GRACE,Z,KENNEDY,442 cr 6104,Nacogdoches,Tx,75964,,,117-13-3147,
A904838,alberto,,malkiewicz,1124 SOUTHWEST 2ND AV,POMPANO,BEACH,FLORIDA 3306E0,,,27111743,28-Jun-57
A904839,martah,t,halapio,"7100 8th Ave N, Apt D",saint,petersburg,fla. 33710,,,123-67-5489,
A904840,HUONG,E,TUALLA,4536 JACQUELINE DVR,new,port,richey florida 34652,POST 34656-140L5,"New Port Richey, Fl 34654",138-94-1396,
A904841,william,,villarreal,1707 Foxglove Ln,boca,raton,florida 33487,,,,
A904842,LAURINDA,M,HOFFMAN,13126 S VERMONT AVE APT 6,GADENA,CA,90247,,,,1940
A904843,K,D,Ventura,710 W COLLEGE AVE,HARRISON,AR,72601,,,17404796,
A904844,REBECCA,M,HERNANDEZ,4588 BENITO ST,Montclair,California,91763,,,,
A904845,stephen,,salazar,17 Coarse Gold Rd,oroville,ca,95965,,,54915253,
A904846,LUSI,J,BEERS,240 Frenchys Cv Apt 44,camarillo,ca,93012,po box 213,"CAMARILLO, CA 93011",,
A904847,P,,YOGUNG,395 N Rooks Ave,inverness,fl,34453,,,068-52-5118,
A904848,ELAS,P,LITTLES,910 RICH AVE APT 1,mountain,view,ca 94040,,,193177319,
A904849,CHUCK,M,CRUZ,326 KELTON DR,Salinas,Calmif.,93906,,,149889493,
A904850,,,CHISSIE,86023 SAND HICKORY TRL,YULEE,FLORIDA,32097,,,029-16-5615,
A904851,sherry,a,ashley,6335 HUMBOLDRT HILL RD APT 4,eureka,california,95503,,,123-66-6677,1927
A904852,J,S,BUTLER,1552 Mariner Ct,Lakeland,Fl,33803,,,123549988,1900
A904853,Arnaldis,D,W,20790 BLUE SPRINS VILLAGE RD,SPRINGDALE,AR,72764,,,,8/20/46
A904854,FELIPE,,MANJARRES,25526 REDLANDS BOULEVARD SPC 110,LOMA,LINDA,CA 92354,,,142012390,
A904855,Halima,,Cahs,735 N 5th St,SILSBEE,TEXAS,77656,PO BX 352,"silsbee, teas 77656",071-12-7293,
A904856,Herminio,,Kroilk,2943 N COTTONWOOD ST UNIT 3,Orange,Ca,92865,,,,1969
A904857,Jerry,,Alberto,"3020 moncrief road w,",JACKSONVILLE,FL,32209,POST BOX 5314,"jacksoville, fl 32247",55896817,
A904858,RONALDO,S,DAVENPORT,713 SARTORI AVE # B,Torrance,Cha,90501,,,32736645,
A904859,Theresa,J,Valencia,4926 CHARITON AVE,TAMPA,FL,33603,,,56210672,7/23/66
A904860,GAUDENCIO,,ARTEAGA,174 Fairway Dr,MOUNTAIN,HOME,AR 72653,,,152526185,
A904861,J,D,ANTHONY,2320 JARDIN DR,oxnard,casli,93036,,,24370640,
A904862,SONYA,D,SHIRLEY,2320 Migration Ct,EELK,GROVE,CA 95757,,,608-86-7401,1952
A904863,D,E,HALL,23014 goings ave,CORNING,CA,96021,PO BOX 594,"CORNING, CA 96021",,
A904864,CHRISTINE,,CARRANZA-MERCADO,313 STONECASTLE WAY,VACAVILLE,CA,95687,,,133-63-7796,3/28/43
A904865,Sonda,,Buitrago,14419 Royal Hil Dr,Houston,Tx,7708z3,Po Box 280034,"HOUSTON, TX 77228",314337701,
A904866,REBECAC,M,HERNANDEZ,2072 PEPPERTREE COURT,Corona,Ca,92883,,,40158414,
A904867,ELIZABETH,,CAMPOS,2159 NORTHWEST SUNSET BOULV,Jensen,Beach,Fl 34957,,,160612810,
A904868,karen,w,scott,2590 County Road 43270,POWDERLY,TX,75473,,,,15-Dec-12
A904869,Drea,,Galstyan,2386 flrida ln,Durham,Ca,95938,Po Box 1064,"Durham, Calivf. 95938",166798420,1971
A904870,carmen,d,dunk,2900 SUNRIDGE DR APT 501,AUSTIN,TX,78741,,,045-25-2605,
A904871,P,W,Harris,54360 Kavenida Juarez,LA,QUINTA,CA 92253,post 1056,"LA QUINTA, CA 92247",003-34-5331,
A904872,JAMES,L,KRAUCHUNAS,14280 Shoredale Ln,Farmers,Branch,Tx 75234,,,111201980,
A904873,CRAOL,F,GILSON,2230 RIESLING AVE,hanford,ca,93230,po box 146,"HANFORD, CA 93232",83328172,
A904874,SHANNON,R,UGIZAR,1056 Myersr Rd,BROOKSVILLE,FL,34602,,,,11-May-13
A904875,NORBERT,,LUNA,37282 Spruce Ost,newark,ca,94560,PO BOX 85,"NEWARK, CALIF. 9460",,
A904876,C,D,WARDLE,3 TEMPLETON,IRVINE,CA,92602,,,,
A904877,Rodney,M,Brackle,1559 Rocdkwood Strt,LOS,ANGELES,CA 90026,PO BOX 881605,"los angeles, ca 90009",22345095,
A904878,daivd,e,jackosn,1625 van horne ln,redondo,beach,california 90278,,,141-16-8801,
A904879,VICTOR,K,EVERET,1031 SW 50TH AVE,Margate,Fl,33068,,,,
A904880,N,,RAMPAS,5801 HILLCREST RD,San,Pablo,Ca 94806,,,163975173,
A904881,Sean,A,Calonge,6621 nola dr,Wataua,Tx,76148,,,,
A904882,GILDA,,GORIS,2219 Ackerman Dr,PITTSBURG,CA,94565,,,,5/9/85
A904883,AZIM,C,L,2200 e mountin rd,SPRINGDALE,AR,72764,,,,
A904884,FRANCIS,,NOYA,19439 Via Del Caballo,yorba,linda,california 92886,PO BOX 2021,"YORBAS LINDA, CA 92885",5321258,1922
A904885,CARRIE,L,HENRANDEZ,80 MACARTHUR BLVD APT 2,Oakland,Ca,94610,PO BOX 18616,"OAKLAND, CA 94619",199-05-9032,19740822
A904886,J,,WILKINSON,1137 W 6th Street,JACKSONVILLE,FLAP.,32209,,,118178086,
A904887,BENJAMIN,G,HYILL,8140 MELBA VE,CANOGA,PARK,CA 91304,,,2134948,
A904888,HORTESNE,L,COLTON,7915 EDGEMOOR DR,HOUSTON,TX,77036,,,,
A904889,THMOAS,,PERETS,10185 118TH AN,LARGO,FL,33773,,,20151374,
A904890,K,,WORTHINGTON,336 NW 54TH TER,Gainesville,Fl,32606,Po Box 607,"GAINESVILLE, FL 32602",,
A904891,JAVIER,L,MYERS,39563 Calle San Clemente,MURRIETA,BCA,92562,,,159563102,
A904892,JENNIFER,S,MORRIS,3941 revere ave,los,angeles,ca 90039,PO BOX 881605,"los angeles, ca 90009",,
A904893,M,N,Vitale,864 SPRINGDALE CWIR,PALM,SPRINGS,FL 33461,,,160945721,
A904894,ROBY,,MARTINEZ,10131 Ne 67th Ln,BRONSON,FLORIDA,32621,Po Box 1406,"BRONSON, FL 32621",077-89-9414,
A904895,Chimene,,Yankauskas,747 54th st pt 3,OAKLAND,CA,94609,po box18616,"OAKLAND, CALIFORNIA 94619",177379827,
A904896,LEO,R,KURTZ,113 SANTANA DR,Vacaville,Cali,95687,aptdo 1158,"VACAVILLE, CA 95696",188175543,
A904897,Lawrence,J,Mitchell,1320 SANTEE DWR APT G,SAN,JOSE,CA 95122,post box 640083,"san jose, ca 95164",62616662,19511111
A904898,INEZ,,CISNEROS,3 LAGOON CT,SANRAFAEL,CALIF.,94903,,,,
A904899,CRAIG,A,GONZALES,455 Rivergate Way Apt 12,Gsacramento,Cali,95831,,,117879786,1/20/84
A904900,lainie,j,spurlock,91 ARBOR SPRINGS LN,Pacheco,Cali,94553,,,180483818,19380130
A904901,won,,omck,3626 Montreal Cir,CONCORD,CA,94520,,,,
A904902,KARAPET,E,SALCEDO,925 Elkhoryn Ct,Jacksonville,Ar,72076,,,95112677,
A904903,Sidney,,Cano,678 HOLLY AVE,ROHNERT,PARK,CA 94928,Po Box 1249,"rohnert park, ca 94927",183292451,1977
A904904,JERRY,M,GIANFAGNA,11533 Davis Str,KMORENO,VALLEY,CALI 92557,,,,
A904905,Juana,L,Cottingham,2700 S Azusa Ave Apt 102,WEST,COVINA,CALIFORNIA 91792,,,191243428,12/9/10
A904906,B,,Mendez,3354 via sienna,costa,mesa,ca 92626,,,,23-Nov-09
A904907,bonnye,w,roberts,222 Lowery Dr,PORT,LAVACA,TX 77979,,,192007887,
A904908,J,BRENT,REFFNER,135 MOTANA AV APT 8,Santa,Monicai,Calif. 90403,,,312063755,
A904909,michelle,,soboleski,7405 rainswept ln,San,Diego,California 9219,po box 45236,"san diego, ca 92145",100479991,7/14/01
A904910,MARIE,,O,7331 riverpoin drive,maumelle,ar,2113,,,,
A904911,Rhonda,C,Cannedy,8415 CHASCO WOODS BLVD APT 2J,PORT,RICHEY,FL 34668,,,095-47-2920,
A904912,GABRIEL,M,YLAGAN,2 TRIAD LN,LADERA,RANCH,CA 92694,,,169430555,2/14/66
A904913,J,C,White,235 hempstead 125,hop,ar,71801,,,021-25-8240,11/5/55
A904914,lisa,l,rushing,10918 Peppersong Dr,riverview,,florida33578,PO BOX 2705,"RIVERVIEW, FL 33568",175729870,
A904915,Chelsea,R,M,2184 SARATOGA LN,GLENDORA,CA,91741,,,58780468,
A904916,RAFALE,A,MONTENEGRO,9720 OLIVE ST,temple,city,ca 91780,Po Bohx 674,"Temple City, Ca 91780",46988883,
A904917,TAWANDA,V,MUSQUZI,1450 rampsey rd,ALPINE,CA,91901,Po Box 308,"Alpine, Ca 91903",76760395,
A904918,Joseph,L,Lucas,12861 ENCANTO DR,VICTORVILLE,CA,92392,,,108274326,1/29/13
A904919,EDDEI,B,FICSHER,1481 Sw 124th Court Unt 7b,MIAMI,FL,33184,,,151-59-8336,
A904920,JERRY,,ROWLE,3901 SOUTH OCEAN DRIV # PC-9K,HOLLYWOOD,FL,33019,,,092-19-0375,1983
A904921,Eugene,,Sauceda,300 N KNOWLES AVENUE APT 409,WINTER,PARK,FL 32789,POST BOX 37O91,"winter park, fl 32790",177-56-2568,1914
A904922,EGNEVIEVE,A,TOUCKO,127 milton st,SAN,FRANCISCO,CA 94112,PO BOX 280911,"san francisco, ca 94128",,
A904923,Yamila,,Anderw,9570 MAIE AVE,LOS,ANGELES,CA 90002,PLO BOX 881605,"LOS ANGELES, CALI 90009",52592532,
A904924,WAYNE,D,GREENWOOD,12700 ELLIOTT AVE SPC 462,EL,MONTE,CA 91732,,,163074880,1/1/00
A904925,Teresa,A,Bowersox,356 W REDONDO BEACH BLVD,GARDEN,CALIF.,90248,,,097-18-1233,1/7/60
A904926,DENISE,S,HILL,4406 W PINTOR PL,tampa,fl,33616,BUZON 7697,"tampa, fl 33675",219852465,
A904927,SHARON,J,GONZALEZ,29441 fawn way,tehachapi,ca,93561,,,016-25-6633,26-May-11
A904928,WALTER,,O,1117 25t Strt,SAN,DIEGO,CA 92154,,,159354695,
A904929,Chirstine,J,Wan,12Q0 BOXWOODS LN,Bastrop,Tx,78602,,,041-34-4348,
A904930,Y,,HAGGINS,432 SUNNYBROOK COURT,Bedford,Texas,76021,BOX 21131,"BEDFORD, TEXAS 76095",,11/5/13
A904931,FRANCISCO,B,LOPEZ,725 Bordeaux Court,Los,Banos,Ca 93635,,,86528618,
A904932,m,,turnedr,298 monroe avenu,MASARYKTOWN,FL,34604,,,164334659,
A904933,ROSA,S,NEWMAN,36860 MAXIMILLIAN AVE,MURRIETA,CALIFORNIA,92563,,,97783796,
A904934,l,,williams,1131 thomas way,escondido,ca,92027,,,107084493,1900
A904935,MYRABELL,R,KCABRERA,2327 LEMUR DR,HOLIDAY,FL,34690,,,,12/25/51
A904936,belinda,,avila,315 THORNHILL ESTATES CT,WINTER,HAVEN,FL 33880,,,,
A904937,HYUN,H,GARCIA,3008 WOLF CREEK RD,Clearlake,Ozaks,Ca 95423,po pbox 1753,"CLEARLAKE OAKS, CA 95423",142178696,1912
A904938,CYNTHIA,G,RAMIREZ,434 Cove Ct,San,Leandro,Ca 94578,,,195203899,
